Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
La Boulangerie La Ferrandiere,38 RUE FERRANDIERE 69002 LYON,,Boulangerie,3,Lina,929669778
Le Coin Gourmand,18 COURS CHARLEMAGNE 69002 LYON,,Boulangerie,3,Lina,983489394
Arotoma,4 RUE JACQUELINE ET ROLAND DE PURY 69002 LYON,,Boulangerie,3,Lina,988602017
Mille Et Une Douceurs,26 RUE VAUBECOUR 69002 LYON,,Boulangerie,3,Lina,403308497
Tartine Et Ficelle,34 RUE DES REMPARTS D'AINAY 69002 LYON,,Boulangerie,3,Lina,817802572
Boulangerie Jules,ET 22 RUE JARRENTE 39 RUE VICTOR HUGO 69002 LYON,,Boulangerie,3,Lina,821481603
La Maison Du Gout,7 COURS CHARLEMAGNE 69002 LYON,,Boulangerie,3,Lina,877691808
O Tao Bom,24 RUE DU PLAT 69002 LYON,,Boulangerie,3,Lina,845192970
Henri Et Sebastien Bouillet,14 RUE DES ARCHERS 69002 LYON,,Boulangerie,3,Lina,441442191
Seve,29 QUAI SAINT ANTOINE 69002 LYON,,Boulangerie,3,Lina,438648487
Pralus,32 RUE DE BREST 69002 LYON,,Boulangerie,3,Lina,800633620
Aux Merveilleux Lyon,32 RUE GRENETTE 69002 LYON,,Boulangerie,3,Lina,811981620
Mosaique,9 RUE DE LA CHARITE 69002 LYON,,Boulangerie,3,Lina,928858901
Donuts Factory,34 RUE SAINTE HELENE 69002 LYON,,Boulangerie,3,Lina,794388421
Donuts Factory (Donuts Factory),17 RUE DE LA REPUBLIQUE 69002 LYON,,Boulangerie,3,Lina,794388421
Cafe Dorner Freres,84 RUE PRESIDENT EDOUARD HERRIOT 69002 LYON,,Boulangerie,3,Lina,878033646
Patisserie Pepin,54 COURS CHARLEMAGNE 69002 LYON,,Boulangerie,3,Lina,499125508
Miss Madeleine,11 RUE DES QUATRE CHAPEAUX 69002 LYON,,Boulangerie,3,Lina,893293217
Nicolas Hennemann Chocolaterie Patisserie,30 RUE SEGUIN 69002 LYON,,Boulangerie,3,Lina,929427300
Nicolas Hennemann Chocolaterie Patisserie,7 RUE BELLECORDIERE 69002 LYON,,Boulangerie,3,Lina,929427300
Jeannine & Suzanne,34 RUE SAINTE HELENE 69002 LYON,,Boulangerie,3,Lina,814032900
Les Delices De Nanou,41 RUE VAUBECOUR 69002 LYON,,Boulangerie,3,Lina,524247822
Sisters Bakery,31 RUE DE LA CHARITE 69002 LYON,,Boulangerie,3,Lina,890414261
Mygato Laboratoire Gourmand Cours Gourmand,2 RUE DU PLAT 69002 LYON,,Boulangerie,3,Lina,788797496
Le Diable Se Deguise En Gateaux,12 RUE D'AUVERGNE 69002 LYON,,Boulangerie,3,Lina,753191535
Louis,[NON-DIFFUSIBLE],,Boulangerie,3,Lina,814891230
Pavlovas Par Joel Maier,1 RUE DE L'ANCIENNE PREFECTURE 69002 LYON,,Boulangerie,3,Lina,909745804
Substance,36 RUE FERRANDIERE 69002 LYON,,Boulangerie,3,Lina,932710486
Jeff De Bruges - Martial,CENTRE COMMERCIAL LYON CONFLUENCE 7 RUE PAUL MONTROCHET 69002 LYON,,Boulangerie,3,Lina,449127885
Societe Patisserie Masmoudi France,46 RUE VICTOR HUGO 69002 LYON,,Boulangerie,3,Lina,798731683
Violette Et Berlingot,58 PASSAGE DE L'ARGUE 69002 LYON,,Boulangerie,3,Lina,498917947
Pate A Choux Lyon 2,34 RUE DES REMPARTS D'AINAY 69002 LYON,,Boulangerie,3,Lina,530329028
C Et C Confiserie,9 RUE BELLECORDIERE 69002 LYON,,Boulangerie,3,Lina,834541211
Le Lautrec,54 RUE DE BREST 69002 LYON,,Boulangerie,3,Lina,827512575
Augustin,223 RUE DUGUESCLIN 69003 LYON,,Boulangerie,3,Lina,752959890
Biscotte Bon Pain & Cie,20-22 20 RUE DE LA METALLURGIE 69003 LYON,,Boulangerie,3,Lina,752959890
Le Boulanger De L Ile Barbe Jocteur,HALLE DE LYON 102 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,389389248
Edouardo,177 RUE DUGUESCLIN 69003 LYON,,Boulangerie,3,Lina,901859686
Les Eclaireurs,17 RUE DOCTEUR BOUCHUT 69003 LYON,,Boulangerie,3,Lina,842360216
Jacquier,52 COURS RICHARD VITTON 69003 LYON,,Boulangerie,3,Lina,333274538
Boulang Patiss Jacquier (Jacquier),50 COURS RICHARD VITTON 69003 LYON,,Boulangerie,3,Lina,333274538
Le Boulanger Du Village,320 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,830377099
Boulangerie Malatier,157 RUE DE CREQUI 66 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,508565421
La Rose De Tunis,35 COURS GAMBETTA 69003 LYON,,Boulangerie,3,Lina,532420122
Maison Ghisalberti,135 COURS ALBERT THOMAS 69003 LYON,,Boulangerie,3,Lina,504643297
Adama Conde,20 RUE DU LAC 69003 LYON,,Boulangerie,3,Lina,930945662
Adama Conde,RESIDENCE ISIS-PART DIEU 31 RUE DE L'ABBE BOISARD 69003 LYON,,Boulangerie,3,Lina,930945662
Boulangerie De La Liberte La Lyonnaise,32 COURS DE LA LIBERTE 69003 LYON,,Boulangerie,3,Lina,499211340
Traiteur De La Liberte,39 COURS DE LA LIBERTE 69003 LYON,,Boulangerie,3,Lina,499211340
Maison Theillere,95 COURS DOCTEUR LONG 69003 LYON,,Boulangerie,3,Lina,913911350
Salim Amar,16 RUE VILLEROY 69003 LYON,,Boulangerie,3,Lina,390102127
Le Fournil De L'Artisan,152 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,814386470
L'Atelier Des Gourmets,54 RUE FEUILLAT 69003 LYON 3EME,,Boulangerie,3,Lina,815059738
Maison Amiar,51 AVENUE FELIX FAURE 69003 LYON,,Boulangerie,3,Lina,830467460
La Boulangerie Desaix,15-33 15 RUE DESAIX 69003 LYON,,Boulangerie,3,Lina,842275158
La Garibaldine,71 COURS GAMBETTA 69003 LYON,,Boulangerie,3,Lina,840962252
Boulangerie De La Place,26 RUE VILLEROY 69003 LYON,,Boulangerie,3,Lina,841428931
Boulangerie Reymond,33 AVENUE FELIX FAURE 69003 LYON,,Boulangerie,3,Lina,851758219
Au Fournil De Montchat,106 AVENUE LACASSAGNE 69003 LYON,,Boulangerie,3,Lina,450185996
Boulangerie Tradition & Compagnie,128 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,881618342
L'Artisan Maison Bouvier,21 RUE DANTON 69003 LYON,,Boulangerie,3,Lina,477481618
Patisserie Boulangerie J D,39 COURS DE LA LIBERTE 69003 LYON,,Boulangerie,3,Lina,485165237
Lissima,135 AVENUE MARECHAL DE SAXE 69003 LYON,,Boulangerie,3,Lina,490584505
Joubert Benedicti,32 COURS DE LA LIBERTE 69003 LYON,,Boulangerie,3,Lina,510307580
La Miche Au Vieux Four,153 AVENUE MARECHAL DE SAXE 69003 LYON,,Boulangerie,3,Lina,523636769
Obopin,7 PLACE ARISTIDE BRIAND 69003 LYON,,Boulangerie,3,Lina,523694289
Canaille Et Petrin,89 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,909790461
Le Pain Ta Gone - Le Garcon Patissier,71 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,813072329
Boulangerie Bas,16 RUE DU DAUPHINE 69003 LYON,,Boulangerie,3,Lina,817877178
Le Moulin De Grange Blanche,1 RUE TRARIEUX 69003 LYON,,Boulangerie,3,Lina,825109911
